,tweet_id,follower_count,favourites_of_user_count,retweet_count,favourite_of_post_count
1752,800388270626521089,8709206,144674,2899,11511
1753,680115823365742593,8709244,144674,905,2739
1754,769212283578875904,8709208,144674,1760,5520
1755,793845145112371200,8709206,144674,1932,9511
1756,670797304698376195,8709246,144674,231,717
1757,676975532580409345,8709245,144674,1057,2763
1758,670319130621435904,8709246,144674,1178,3781
1759,758474966123810816,8709208,144674,1021,3876
1760,733828123016450049,8709215,144674,784,3591
1761,708109389455101952,8709216,144674,550,1962
1762,708026248782585858,8709216,144674,1932,4407
1763,752660715232722944,8709211,144674,1582,4452
1764,690735892932222976,8709217,144674,1278,3812
1765,705475953783398401,8709217,144674,922,2982
1766,802323869084381190,8709206,144674,6028,16701
1767,743609206067040256,8709212,144674,1390,4513
1768,808001312164028416,8709206,144674,3646,12916
1769,798628517273620480,8709206,144674,2040,6568
1770,852672615818899456,8709205,144674,2114,14724
1771,690690673629138944,8709217,144674,819,2350
1772,673295268553605120,8709246,144674,3080,7340
1773,811744202451197953,8709207,144674,1643,7754
1774,709556954897764353,8709216,144674,1076,3310
1775,776088319444877312,8709209,144674,155,1886
1776,713175907180089344,8709216,144674,1477,4479
1777,749403093750648834,8709212,144674,542,2663
1778,850333567704068097,8709205,144674,326,3431
1779,707693576495472641,8709216,144674,999,3434
1780,841320156043304961,8709205,144674,11610,23179
1781,668967877119254528,8709247,144674,22,140
1782,667405339315146752,8709248,144674,214,452
1783,887343217045368832,8709204,144674,9633,31838
1784,703774238772166656,8709217,144674,466,1853
1785,684222868335505415,8709218,144674,1379,3846
1786,668587383441514497,8709247,144674,1040,1625
1787,675003128568291329,8709246,144674,456,1532
1788,666435652385423360,8709248,144674,49,160
1789,705066031337840642,8709217,144674,619,2191
1790,683030066213818368,8709243,144674,741,2176
1791,696754882863349760,8709217,144674,363,1493
1792,761976711479193600,8709208,144674,2049,5499
1793,789530877013393408,8709206,144674,3496,12102
1794,674646392044941312,8709246,144674,481,1406
1795,787397959788929025,8709206,144674,2925,11194
1796,867774946302451713,8709204,144674,6930,32579
1797,667437278097252352,8709248,144674,227,436
1798,874680097055178752,8709204,144674,4287,26407
1799,817415592588222464,8709207,144674,982,5734
1800,672481316919734272,8709246,144674,123,706
1801,669203728096960512,8709247,144674,459,979
1802,686760001961103360,8709217,144674,1391,3547
1803,744334592493166593,8709212,144674,2137,6843
1804,801854953262350336,8709206,144674,246,1831
1805,805823200554876929,8709206,144674,8304,20661
1806,667924896115245057,8709247,144674,108,288
1807,714251586676113411,8709216,144674,834,3291
1808,773191612633579521,8709208,144674,4240,10223
1809,877611172832227328,8709204,144674,74,1745
1810,681320187870711809,8709244,144674,743,2657
1811,667393430834667520,8709248,144674,52,188
1812,692894228850999298,8709217,144674,813,2285
1813,834089966724603904,8709205,144674,2160,10159
1814,873580283840344065,8709204,144674,3639,23015
1815,704761120771465216,8709861,144675,2927,6666
1816,786363235746385920,8709208,144674,3618,11211
1817,779834332596887552,8709209,144674,7253,19417
1818,717047459982213120,8709216,144674,1936,6316
1819,760893934457552897,8709208,144674,993,3883
1820,686007916130873345,8709217,144674,416,2512
1821,709852847387627521,8709216,144674,1205,3546
1822,812503143955202048,8709207,144674,1261,6237
1823,759047813560868866,8709208,144674,2063,6605
1824,778764940568104960,8709209,144674,374,889
1825,685906723014619143,8709218,144674,2914,7573
1826,667724302356258817,8709248,144674,307,464
1827,823719002937630720,8709205,144674,11462,30623
1828,679530280114372609,8709244,144674,2082,4811
1829,765371061932261376,8709208,144674,2204,7219
1830,791026214425268224,8709206,144674,4231,12823
1831,793165685325201412,8709206,144674,2874,9724
1832,670792680469889025,8709246,144674,265,804
1833,788070120937619456,8709206,144674,3538,11531
1834,747844099428986880,8709212,144674,755,2845
1835,730211855403241472,8709216,144674,1060,3837
1836,843981021012017153,8709205,144674,2946,15214
1837,757393109802180609,8709209,144674,1771,5915
1838,678334497360859136,8709244,144674,253,1305
1839,676949632774234114,8709245,144674,390,1302
1840,812372279581671427,8709207,144674,3782,14057
1841,728751179681943552,8709216,144674,684,2780
1842,879492040517615616,8709204,144674,2936,22211
1843,832369877331693569,8709205,144674,3238,17406
1844,673705679337693185,8709246,144674,395,1230
1845,673343217010679808,8709246,144674,263,945
1846,770293558247038976,8709208,144674,1512,6380
1847,882268110199369728,8709204,144674,10676,42451
1848,837471256429613056,8709205,144674,2295,12925
1849,667911425562669056,8709247,144674,287,476
1850,808106460588765185,8709206,144674,2282,9040
1851,675849018447167488,8709246,144674,142,927
1852,683357973142474752,8709243,144674,924,2942
1853,768909767477751808,8709208,144674,2741,7575
1854,878604707211726852,8709204,144674,151,742
1855,668537837512433665,8709247,144674,69,245
1856,680176173301628928,8709244,144674,1552,3914
1857,693642232151285760,8709217,144674,413,2556
1858,770787852854652928,8709208,144674,1228,5039
1859,685663452032069632,8709218,144674,1466,3260
1860,813812741911748608,8709207,144674,14391,37396
1861,847971574464610304,8709205,144674,429,4362
1862,749417653287129088,8709212,144674,1668,6188
1863,887473957103951883,8709204,144674,16578,65134
1864,741438259667034112,8709212,144674,844,3705
1865,892177421306343426,8709202,144674,5762,31472
1866,815966073409433600,8709207,144674,8714,22994
1867,729854734790754305,8709216,144674,1132,4055
1868,726828223124897792,8709216,144674,1006,3576
1869,677565715327688705,8709245,144674,460,1295
1870,697995514407682048,8709217,144674,332,1526
1871,668237644992782336,8709247,144674,2741,6021
1872,674063288070742018,8709245,144674,2145,6240
1873,817777686764523521,8709206,144674,2768,11003
1874,841439858740625411,8709205,144674,3697,12715
1875,710588934686908417,8709216,144674,1879,4560
1876,695629776980148225,8709217,144674,2108,4597
1877,666421158376562688,8709248,144674,107,303
1878,698342080612007937,8709217,144674,955,2284
1879,789314372632018944,8709206,144674,49964,106887
1880,674038233588723717,8709246,144674,403,1076
1881,701952816642965504,8709217,144674,1031,3865
1882,672256522047614977,8709247,144674,1491,2743
1883,777953400541634568,8709208,144674,3624,11093
1884,676470639084101634,8709245,144674,4620,11503
1885,812466873996607488,8709207,144674,1996,8191
1886,859074603037188101,8709205,144674,13089,32882
1887,751793661361422336,8709212,144674,2936,5920
1888,670465786746662913,8709246,144674,532,946
1889,679062614270468097,8709245,144674,8117,17016
1890,680934982542561280,8709244,144674,436,2097
1891,813112105746448384,8709207,144674,2833,10600
1892,820690176645140481,8709205,144674,3313,12479
1893,791784077045166082,8709206,144674,9931,18393
1894,787111942498508800,8709206,144674,6949,12836
1895,669351434509529089,8709247,144674,174,421
1896,752519690950500352,8709211,144674,3482,7463
1897,669597912108789760,8709247,144674,145,501
1898,780074436359819264,8709209,144674,5104,12510
1899,719332531645071360,8709216,144674,958,3444
1900,736010884653420544,8709212,144674,3004,7935
1901,875097192612077568,8709204,144674,26627,72504
1902,819711362133872643,8709206,144674,3191,13711
1903,803380650405482500,8709206,144674,1927,8001
1904,834167344700198914,8709205,144674,3701,16006
1905,769940425801170949,8709208,144674,9774,32040
1906,891689557279858688,8709203,144674,7948,39850
1907,670434127938719744,8709246,144674,623,1362
1908,800751577355128832,8709206,144674,2887,10873
1909,840728873075638272,8709205,144674,16223,46003
1910,671561002136281088,8709247,144674,7003,12453
1911,679462823135686656,8709244,144674,18834,31730
1912,670433248821026816,8709246,144674,108,322
1913,679722016581222400,8709244,144674,465,1669
1914,675146535592706048,8709246,144674,295,1164
1915,786051337297522688,8709208,144674,159,1472
1916,729838605770891264,8709216,144674,385,1730
1917,802600418706604034,8709206,144674,1519,7323
1918,696886256886657024,8709217,144674,1814,4901
1919,718613305783398402,8709216,144674,484,2445
1920,679877062409191424,8709244,144674,649,1994
1921,826204788643753985,8709205,144674,942,4966
1922,838921590096166913,8709205,144674,2077,11244
1923,675740360753160193,8709245,144674,340,1155
1924,696713835009417216,8709217,144674,654,2383
1925,689143371370250240,8709217,144674,517,2027
1926,667544320556335104,8709248,144674,504,834
1927,776813020089548800,8709208,144674,1241,4988
1928,891087950875897856,8709203,144674,2865,19145
1929,831926988323639298,8709205,144674,34,342
1930,886267009285017600,8709202,144674,4,113
1931,871879754684805121,8709204,144674,10271,35885
1932,810657578271330305,8709207,144674,2745,11286
1933,800859414831898624,8709206,144674,98,706
1934,805958939288408065,8709206,144674,5532,17753
1935,715680795826982913,8709216,144674,1617,4324
1936,672272411274932228,8709246,144674,3261,6301
1937,856543823941562368,8709205,144674,2790,15944
1938,709158332880297985,8709216,144674,415,2047
1939,805207613751304193,8709206,144674,1775,8046
1940,683515932363329536,8709219,144674,2922,7396
1941,793241302385262592,8709206,144674,3394,10852
1942,670079681849372674,8709247,144674,1182,2165
1943,718971898235854848,8709216,144674,1080,3494
1944,677335745548390400,8709245,144674,1773,3037
1945,775085132600442880,8709209,144674,4845,15923
1946,678278586130948096,8709245,144674,6051,11413
1947,695446424020918272,8709217,144674,1817,4420
1948,675166823650848770,8709246,144674,1563,3537
1949,819924195358416896,8709206,144674,4986,13187
1950,752917284578922496,8709210,144674,1607,7016
1951,793286476301799424,8709206,144674,9494,25357
1952,777684233540206592,8709208,144674,3004,11501
1953,676603393314578432,8709245,144674,377,1150
1954,827600520311402496,8709205,144674,960,7555
1955,685532292383666176,8709218,144674,1165,3053
1956,667866724293877760,8709247,144674,989,2927
